Restaurant,star_rating,no_reviews,cuisine,url
Cantina & Cucina,4.5,"17,574","Italian, European",https://www.tripadvisor.com.my/Restaurant_Review-g187791-d2094750-Reviews-Cantina_Cucina-Rome_Lazio.html
Il Ritrovo,5.0,396,"Mediterranean, Romana",https://www.tripadvisor.com.my/Restaurant_Review-g187791-d13985834-Reviews-Il_Ritrovo-Rome_Lazio.html
Ai Bozzi da Giovanni,4.5,"1,873","Italian, Seafood",https://www.tripadvisor.com.my/Restaurant_Review-g187791-d1012247-Reviews-Ai_Bozzi_da_Giovanni-Rome_Lazio.html
FASSANGUE_ La Bottega,5.0,355,"Italian, French",https://www.tripadvisor.com.my/Restaurant_Review-g187791-d15549792-Reviews-FASSANGUE_La_Bottega-Rome_Lazio.html
VIDA - Living Restaurant & Wine Bar,4.5,"1,421","Italian, Steakhouse",https://www.tripadvisor.com.my/Restaurant_Review-g187791-d3544568-Reviews-VIDA_Living_Restaurant_Wine_Bar-Rome_Lazio.html
Grazia & Graziella,4.5,"24,962","Italian, Pizza",https://www.tripadvisor.com.my/Restaurant_Review-g187791-d4020129-Reviews-Grazia_Graziella-Rome_Lazio.html
Il Tamburello di Pulcinella,4.5,"1,596","Italian, Pizza",https://www.tripadvisor.com.my/Restaurant_Review-g187791-d8076107-Reviews-Il_Tamburello_di_Pulcinella-Rome_Lazio.html
Byblos,5.0,73,"Italian, Lebanese",https://www.tripadvisor.com.my/Restaurant_Review-g187791-d25390836-Reviews-Byblos-Rome_Lazio.html
Dumpling Bar,4.5,"1,131","Chinese, Asian",https://www.tripadvisor.com.my/Restaurant_Review-g187791-d12642772-Reviews-Dumpling_Bar-Rome_Lazio.html
Osti Matti,4.5,710,"Italian, Mediterranean",https://www.tripadvisor.com.my/Restaurant_Review-g187791-d11911590-Reviews-Osti_Matti-Rome_Lazio.html
La Piccola Cuccagna,4.0,"1,689","Italian, Mediterranean",https://www.tripadvisor.com.my/Restaurant_Review-g187791-d1011258-Reviews-La_Piccola_Cuccagna-Rome_Lazio.html
7 Cereali,5.0,576,"Pizza, Healthy",https://www.tripadvisor.com.my/Restaurant_Review-g187791-d16864977-Reviews-7_Cereali-Rome_Lazio.html
JiaMo Lab,5.0,128,"Chinese, Asian",https://www.tripadvisor.com.my/Restaurant_Review-g187791-d20054697-Reviews-JiaMo_Lab-Rome_Lazio.html
