Restaurant,star_rating,no_reviews,cuisine,url
Rooftop 25 Bar And Lounge Kl,4.5,207,"Bars & Pubs, Asian",https://www.tripadvisor.com.my/Restaurant_Review-g298570-d17329080-Reviews-Rooftop_25_Bar_And_Lounge_Kl-Kuala_Lumpur_Wilayah_Persekutuan.html
Khan's Indian Cuisine,4.5,213,"Indian, Asian",https://www.tripadvisor.com.my/Restaurant_Review-g298570-d15119941-Reviews-Khan_s_Indian_Cuisine-Kuala_Lumpur_Wilayah_Persekutuan.html
The Lounge at Four Seasons,4.5,222,International,https://www.tripadvisor.com.my/Restaurant_Review-g298570-d14957251-Reviews-The_Lounge_at_Four_Seasons-Kuala_Lumpur_Wilayah_Persekutuan.html
The Living Room,4.5,383,"International, Asian",https://www.tripadvisor.com.my/Restaurant_Review-g298570-d1097420-Reviews-The_Living_Room-Kuala_Lumpur_Wilayah_Persekutuan.html
Yun House,4.5,256,"Chinese, Seafood",https://www.tripadvisor.com.my/Restaurant_Review-g298570-d14827076-Reviews-Yun_House-Kuala_Lumpur_Wilayah_Persekutuan.html
Manja,4.5,773,"Contemporary, Central Asian",https://www.tripadvisor.com.my/Restaurant_Review-g298570-d8609458-Reviews-Manja-Kuala_Lumpur_Wilayah_Persekutuan.html
Pier 12 Seafood Tavern,4.5,539,"Seafood, International",https://www.tripadvisor.com.my/Restaurant_Review-g298570-d10825554-Reviews-Pier_12_Seafood_Tavern-Kuala_Lumpur_Wilayah_Persekutuan.html
Le Petit Chef - Kuala Lumpur,4.5,391,"French, Chinese",https://www.tripadvisor.com.my/Restaurant_Review-g298570-d21184087-Reviews-Le_Petit_Chef_Kuala_Lumpur-Kuala_Lumpur_Wilayah_Persekutuan.html
Nook,4.5,485,"International, Asian",https://www.tripadvisor.com.my/Restaurant_Review-g298570-d7322222-Reviews-Nook-Kuala_Lumpur_Wilayah_Persekutuan.html
Healy Mac's Irish Bar and Restaurant,4.5,563,"Bars & Pubs, Irish",https://www.tripadvisor.com.my/Restaurant_Review-g298570-d8710655-Reviews-Healy_Mac_s_Irish_Bar_and_Restaurant-Kuala_Lumpur_Wilayah_Persekutuan.html
Zenzero Restaurant & Wine Bar,4.5,715,"Italian, European",https://www.tripadvisor.com.my/Restaurant_Review-g298570-d6155771-Reviews-Zenzero_Restaurant_Wine_Bar-Kuala_Lumpur_Wilayah_Persekutuan.html
Old Shanghai,4.5,"2,043","Chinese, Bar",https://www.tripadvisor.com.my/Restaurant_Review-g298570-d6863950-Reviews-Old_Shanghai-Kuala_Lumpur_Wilayah_Persekutuan.html
The Steakhouse KL,4.5,"1,248",Steakhouse,https://www.tripadvisor.com.my/Restaurant_Review-g298570-d3870396-Reviews-The_Steakhouse_KL-Kuala_Lumpur_Wilayah_Persekutuan.html
Vin's Restaurant and Bar,4.5,508,"Bar, International",https://www.tripadvisor.com.my/Restaurant_Review-g298570-d1935181-Reviews-Vin_s_Restaurant_and_Bar-Kuala_Lumpur_Wilayah_Persekutuan.html
El Cerdo,4.5,"1,337","European, Spanish",https://www.tripadvisor.com.my/Restaurant_Review-g298570-d877517-Reviews-El_Cerdo-Kuala_Lumpur_Wilayah_Persekutuan.html
Le Bar Cocktails & Stories,5.0,71,"Bar, Wine Bar",https://www.tripadvisor.com.my/Restaurant_Review-g298570-d23760893-Reviews-Le_Bar_Cocktails_Stories-Kuala_Lumpur_Wilayah_Persekutuan.html
Quivo Pavilion,4.5,"1,026","Italian, Bar",https://www.tripadvisor.com.my/Restaurant_Review-g298570-d7085237-Reviews-Quivo_Pavilion-Kuala_Lumpur_Wilayah_Persekutuan.html
BBQ NIGHTS,4.5,919,"Indian, Barbecue",https://www.tripadvisor.com.my/Restaurant_Review-g298570-d5863216-Reviews-BBQ_NIGHTS-Kuala_Lumpur_Wilayah_Persekutuan.html
Malai Thai Cuisine,4.5,383,"Asian, Thai",https://www.tripadvisor.com.my/Restaurant_Review-g298570-d14197079-Reviews-Malai_Thai_Cuisine-Kuala_Lumpur_Wilayah_Persekutuan.html
Toh Yuen Chinese Restaurant,4.5,242,"Chinese, Asian",https://www.tripadvisor.com.my/Restaurant_Review-g298313-d1091557-Reviews-Toh_Yuen_Chinese_Restaurant-Petaling_Jaya_Petaling_District_Selangor.html
Knowhere Bangsar,5.0,90,"Bars & Pubs, Bar",https://www.tripadvisor.com.my/Restaurant_Review-g298570-d15223699-Reviews-Knowhere_Bangsar-Kuala_Lumpur_Wilayah_Persekutuan.html
Oro Cafe,5.0,58,"Cafe, International",https://www.tripadvisor.com.my/Restaurant_Review-g298570-d21330700-Reviews-Oro_Cafe-Kuala_Lumpur_Wilayah_Persekutuan.html
LUCE Osteria Contemporanea,4.5,236,"Italian, Pizza",https://www.tripadvisor.com.my/Restaurant_Review-g298570-d10742157-Reviews-LUCE_Osteria_Contemporanea-Kuala_Lumpur_Wilayah_Persekutuan.html
Aliyaa Island Restaurant & Bar,4.5,254,"Seafood, Asian",https://www.tripadvisor.com.my/Restaurant_Review-g298570-d1371262-Reviews-Aliyaa_Island_Restaurant_Bar-Kuala_Lumpur_Wilayah_Persekutuan.html
JP teres,4.5,283,"Chinese, Indian",https://www.tripadvisor.com.my/Restaurant_Review-g298570-d3501952-Reviews-JP_teres-Kuala_Lumpur_Wilayah_Persekutuan.html
